Date,App_Name,Category,Minutes_Used
2026-08-10,Instagram,Social Media,101
2026-08-10,WhatsApp,Social Media,33
2026-08-10,Twitter/X,Social Media,28
2026-08-10,YouTube,Entertainment,53
2026-08-10,Netflix,Entertainment,33
2026-08-10,Spotify,Entertainment,22
2026-08-10,VS Code,Coding,75
2026-08-10,GitHub,Coding,20
2026-08-10,LeetCode,Education,25
2026-08-10,Coursera,Education,12
2026-08-10,Gmail,Productivity,16
2026-08-10,Google Docs,Productivity,21
2026-08-11,Instagram,Social Media,46
2026-08-11,WhatsApp,Social Media,98
2026-08-11,Twitter/X,Social Media,28
2026-08-11,YouTube,Entertainment,56
2026-08-11,Netflix,Entertainment,45
2026-08-11,Spotify,Entertainment,27
2026-08-11,VS Code,Coding,68
2026-08-11,GitHub,Coding,15
2026-08-11,LeetCode,Education,42
2026-08-11,Coursera,Education,16
2026-08-11,Gmail,Productivity,18
2026-08-11,Google Docs,Productivity,23
2026-08-12,Instagram,Social Media,56
2026-08-12,WhatsApp,Social Media,37
2026-08-12,Twitter/X,Social Media,30
2026-08-12,YouTube,Entertainment,85
2026-08-12,Netflix,Entertainment,37
2026-08-12,Spotify,Entertainment,34
2026-08-12,VS Code,Coding,65
2026-08-12,GitHub,Coding,17
2026-08-12,LeetCode,Education,31
2026-08-12,Coursera,Education,11
2026-08-12,Gmail,Productivity,13
2026-08-12,Google Docs,Productivity,15
2026-08-13,Instagram,Social Media,48
2026-08-13,WhatsApp,Social Media,37
2026-08-13,Twitter/X,Social Media,21
2026-08-13,YouTube,Entertainment,88
2026-08-13,Netflix,Entertainment,38
2026-08-13,Spotify,Entertainment,32
2026-08-13,VS Code,Coding,72
2026-08-13,GitHub,Coding,23
2026-08-13,LeetCode,Education,28
2026-08-13,Coursera,Education,14
2026-08-13,Gmail,Productivity,19
2026-08-13,Google Docs,Productivity,22
2026-08-14,Instagram,Social Media,57
2026-08-14,WhatsApp,Social Media,48
2026-08-14,Twitter/X,Social Media,36
2026-08-14,YouTube,Entertainment,60
2026-08-14,Netflix,Entertainment,29
2026-08-14,Spotify,Entertainment,38
2026-08-14,VS Code,Coding,110
2026-08-14,GitHub,Coding,18
2026-08-14,LeetCode,Education,38
2026-08-14,Coursera,Education,14
2026-08-14,Gmail,Productivity,19
2026-08-14,Google Docs,Productivity,20
2026-08-15,Instagram,Social Media,79
2026-08-15,WhatsApp,Social Media,57
2026-08-15,Twitter/X,Social Media,40
2026-08-15,YouTube,Entertainment,100
2026-08-15,Netflix,Entertainment,56
2026-08-15,Spotify,Entertainment,52
2026-08-15,VS Code,Coding,29
2026-08-15,GitHub,Coding,5
2026-08-15,LeetCode,Education,17
2026-08-15,Coursera,Education,5
2026-08-15,Gmail,Productivity,3
2026-08-15,Google Docs,Productivity,4
2026-08-16,Instagram,Social Media,75
2026-08-16,WhatsApp,Social Media,65
2026-08-16,Twitter/X,Social Media,42
2026-08-16,YouTube,Entertainment,106
2026-08-16,Netflix,Entertainment,47
2026-08-16,Spotify,Entertainment,45
2026-08-16,VS Code,Coding,45
2026-08-16,GitHub,Coding,7
2026-08-16,LeetCode,Education,17
2026-08-16,Coursera,Education,7
2026-08-16,Gmail,Productivity,3
2026-08-16,Google Docs,Productivity,8
2026-08-17,Instagram,Social Media,61
2026-08-17,WhatsApp,Social Media,34
2026-08-17,Twitter/X,Social Media,19
2026-08-17,YouTube,Entertainment,68
2026-08-17,Netflix,Entertainment,45
2026-08-17,Spotify,Entertainment,37
2026-08-17,VS Code,Coding,77
2026-08-17,GitHub,Coding,20
2026-08-17,LeetCode,Education,28
2026-08-17,Coursera,Education,19
2026-08-17,Gmail,Productivity,18
2026-08-17,Google Docs,Productivity,18
2026-08-18,Instagram,Social Media,60
2026-08-18,WhatsApp,Social Media,32
2026-08-18,Twitter/X,Social Media,26
